time,SMA
9/12/2014,100.6947
9/11/2014,100.8105
9/10/2014,100.9003
9/9/2014,101.0022
9/8/2014,101.0898
9/5/2014,101.1547
9/4/2014,101.1995
9/3/2014,101.2512
9/2/2014,101.2913
8/29/2014,101.3432
8/28/2014,101.3613
8/27/2014,101.3692
8/26/2014,101.3835
8/25/2014,101.3885
8/22/2014,101.4182
8/21/2014,101.4643
8/20/2014,101.494
8/19/2014,101.5217
8/18/2014,101.5522
8/15/2014,101.5852
8/14/2014,101.6352
8/13/2014,101.6615
8/12/2014,101.6912
8/11/2014,101.7287
8/8/2014,101.7628
8/7/2014,101.8053
8/6/2014,101.8735
8/5/2014,101.9277
8/4/2014,101.9902
8/1/2014,102.0267
7/31/2014,102.0985
7/30/2014,102.1607
7/29/2014,102.155
7/28/2014,102.1293
7/25/2014,102.0987
7/24/2014,102.0858
7/23/2014,102.0387
7/22/2014,101.9873
7/21/2014,101.9352
7/18/2014,101.884
7/17/2014,101.8468
7/16/2014,101.8145
7/15/2014,101.7672
7/14/2014,101.7343
7/11/2014,101.6887
7/10/2014,101.6377
7/9/2014,101.5592
7/8/2014,101.4453
7/7/2014,101.3445
7/3/2014,101.2558
7/2/2014,101.1702
7/1/2014,101.0903
6/30/2014,101.0237
6/27/2014,100.9778
6/26/2014,100.9235
6/25/2014,100.8518
6/24/2014,100.7775
6/23/2014,100.6937
6/20/2014,100.558
6/19/2014,100.4058
6/18/2014,100.2772
6/17/2014,100.1423
6/16/2014,100.0072
6/13/2014,99.8682
6/12/2014,99.7195
6/11/2014,99.6037
6/10/2014,99.4765
6/9/2014,99.3433
6/6/2014,99.212
6/5/2014,99.0888
6/4/2014,98.9798
6/3/2014,98.9042
6/2/2014,98.8142
5/30/2014,98.7112
5/29/2014,98.599
5/28/2014,98.5198
5/27/2014,98.4272
5/23/2014,98.3423
5/22/2014,98.251
5/21/2014,98.1558
5/20/2014,98.0605
5/19/2014,97.99
5/16/2014,97.8927
5/15/2014,97.8032
5/14/2014,97.6893
5/13/2014,97.5523
5/12/2014,97.4148
5/9/2014,97.2348
5/8/2014,97.0537
5/7/2014,96.8623
5/6/2014,96.6358
5/5/2014,96.4343
5/2/2014,96.2158
5/1/2014,96.0087
4/30/2014,95.8188
4/29/2014,95.6128
4/28/2014,95.458
4/25/2014,95.3383
4/24/2014,95.25
4/23/2014,95.1773
4/22/2014,95.0843
4/21/2014,94.9923
4/17/2014,94.9263
4/16/2014,94.884
4/15/2014,94.86
4/14/2014,94.868
4/11/2014,94.886
4/10/2014,94.9203
4/9/2014,94.9593
4/8/2014,94.9797
4/7/2014,95.0308
4/4/2014,95.0805
4/3/2014,95.1368
4/2/2014,95.1892
4/1/2014,95.2177
3/31/2014,95.2473
3/28/2014,95.2818
3/27/2014,95.3402
3/26/2014,95.408
3/25/2014,95.5215
3/24/2014,95.6213
3/21/2014,95.6977
3/20/2014,95.7677
3/19/2014,95.836
3/18/2014,95.931
3/17/2014,96.0115
3/14/2014,96.052
3/13/2014,96.1145
3/12/2014,96.1423
3/11/2014,96.1615
3/10/2014,96.1657
3/7/2014,96.1692
3/6/2014,96.1833
3/5/2014,96.2148
3/4/2014,96.2203
3/3/2014,96.1895
2/28/2014,96.171
2/27/2014,96.1252
2/26/2014,96.0858
2/25/2014,96.0527
2/24/2014,96.0187
2/21/2014,95.9962
2/20/2014,95.9958
2/19/2014,95.9845
2/18/2014,95.9967
2/14/2014,96.0192
2/13/2014,96.0415
2/12/2014,96.1055
2/11/2014,96.1412
2/10/2014,96.1703
2/7/2014,96.2228
2/6/2014,96.2625
2/5/2014,96.3113
2/4/2014,96.351
2/3/2014,96.4043
1/31/2014,96.4367
1/30/2014,96.4357
1/29/2014,96.3662
1/28/2014,96.2747
1/27/2014,96.1607
1/24/2014,96.0608
1/23/2014,95.9505
1/22/2014,95.8005
1/21/2014,95.6428
1/17/2014,95.4613
1/16/2014,95.275
1/15/2014,95.0798
1/14/2014,94.8927
1/13/2014,94.6987
1/10/2014,94.5113
1/9/2014,94.2825
1/8/2014,94.0798
1/7/2014,93.85
1/6/2014,93.5995
1/3/2014,93.3578
1/2/2014,93.1245
